Frequency_free,Frequency_money,Frequency_$,Length_capital_average,Target
0.1,0.3,0.396,3.163,1
0,0,0,17.481,1
0.71,0,0,1.779,1
0.49,0,0.674,2.922,1
0.1,0.3,0.397,3.16,1
0,0,0,8.166,1
0,0,0.39,26.405,1
0.11,0,0.107,3.439,1
0.37,0.74,0.223,2.021,1
0.49,0.49,0.077,3.219,1
0.54,0.76,0.141,3.328,1
0.47,0.47,0.452,9.64,1
0,0,0.206,4.171,1
0.47,0,0.145,4.041,1
0.49,0,0.673,2.922,1
0.47,0,0.288,3.745,1
0,1.96,0,3.214,1
1.65,0.23,0.037,5.236,1
0.38,0.38,0,02.08,1
0,0,0.101,337.25,1
0,0,0.101,337.25,1
0.2,0,0.034,3.632,1
0.1,0.1,0.158,8.55,1
0.82,0.16,0.224,5.872,1
0.82,0.16,0.224,5.872,1
0,0,0.171,2.235,1
0.32,0,0.83,3.8,1
0.39,0.39,0,1.94,1
0,0,0,1.055,1
0.36,0,0.061,4,1
0,0,0,1.74,1
0,0.05,0.161,2.051,1
0.65,0.65,0.411,3.964,1
0.14,0.21,0.103,4.923,1
0,0,0.216,8.523,1
0,0,0,5.886,1
1.45,0,0.124,1.781,1
0,0,0,1.895,1
1.35,0,0,3.285,1
0,0,0.04,2.779,1
1.34,0,0,1.968,1
0.68,0,0.056,2.257,1
0.52,0,0,2.82,1
0,0,0,9.269,1
0,0,0,1.728,1
1.68,0,0.828,4.333,1
0.09,0.18,0.135,8.445,1
0,0,0,1,1
0.68,0,0.056,2.257,1
0.34,0,0,2.285,1
1.72,0.28,0,6.584,1
0,0,0,2.444,1
0,0,0.432,2.375,1
0.98,0.65,0,5.85,1
0,0.16,0.105,2,1
0,0.16,0.101,02.03,1
0,0.17,0.106,2,1
0.36,0,0.932,2.932,1
0,0.26,0.192,4.754,1
0,0,0,3.537,1
0,0.16,0.107,2.015,1
0.38,0,0,2.061,1
0,0,0,11.066,1
0,0.28,0.046,14.58,1
0,0,0,10.533,1
0.35,1.5,0.162,4.137,1
0.94,0,0,1.102,1
0.89,0,0.483,1.826,1
0,0,0.027,2.326,1
0,0.05,0.163,1.796,1
1.16,0,0,7.552,1
0,0.44,0,2.787,1
0.49,0,0.035,4.071,1
0.52,0,0,1.388,1
0,0,0.117,1.8,1
1.68,0,1.457,2.632,1
0.88,0,0.128,2.215,1
0,0,0,2.373,1
0.09,0.09,0.145,8.323,1
0,0,0.248,3.15,1
0,0.05,0.165,1.79,1
0,0,0,2.4,1
0,0.09,0.031,3.771,1
0,0,0.124,1.98,1
0,0,0.345,1.833,1
0,0.47,0,4.18,1
0,0,0.118,1.987,1
0,0.09,0.031,3.816,1
0,0.09,0.031,3.816,1
2.17,0,0,1.325,1
0,0,0.173,3.065,1
0.98,1.38,0.317,6.652,1
0,0.31,0,9.218,1
0.5,1.17,0.229,9.652,1
0.11,0,0.056,2.153,1
0,0,0,3.066,1
0,0.09,0.031,3.758,1
0.82,0.27,0.188,5.622,1
1.11,0,0,2.492,1
0,0.68,0.238,2.232,1
1.26,0,0,8.972,1
0,0.22,0.071,3.429,1
0.25,0.08,0.118,7.55,1
0,0,0,3.809,1
1.41,0,0,9.25,1
0,2.45,0,3.707,1
0,0,0.105,443.666,1
0,0,0.665,3.812,1
0,0,1.212,7.025,1
0.48,0,0.173,56.538,1
0,0,0.105,443.333,1
0,0.09,0.031,3.758,1
0.25,0.08,0.118,7.55,1
0,2.32,0,8.733,1
0,0,0,3.809,1
0,0,0.184,8.161,1
0.25,0.57,2.33,6.601,1
0,0.81,0.056,4.47,1
1,0.67,0,6.111,1
0.47,0,0.168,57.076,1
0.46,0,0.168,57.076,1
0,0.09,0.032,3.689,1
2.2,0,0,3.048,1
0.63,0,0,8.476,1
2.22,0,0,3.048,1
0.11,01.07,0.254,9.705,1
0.73,0,0.109,02.08,1
1.36,0,0,4.551,1
0.27,0.61,0.519,6.029,1
0.33,0.84,0.278,3.774,1
0,0,0,22.714,1
0,0.09,0.015,4.192,1
0,0,0.478,5.038,1
0,0,0.475,5.038,1
0,0,0.473,5.038,1
2,0.1,0.182,8.851,1
2.22,0,0.138,2.7,1
0,0.47,0.127,5.241,1
0.91,0,0,2.842,1
0,0.47,0.127,5.241,1
0.32,0.32,0.166,1.688,1
0,0,0.215,3.529,1
0.91,0.2,0.16,6.758,1
0,0,0,24.375,1
0,0,0.424,4.1,1
0,0,0,6.275,1
0,0,0,1.8,1
0.13,0.19,0.106,4.742,1
0,0,0,2,1
0,0,1.223,107.4,1
0,0,1.237,105.8,1
0,0.2,0.175,7.439,1
0,0,0,4.466,1
0,0,0.662,4.066,1
0.95,0.63,0,5.708,1
02.04,0,0,1.787,1
1.96,0,0,1.787,1
3.51,0,0.132,5.87,1
1.42,0,0,2.058,1
0.87,0.19,0.155,6.813,1
0,0,0,2.037,0
0,0,0,1.545,0
0,0,0.142,1.857,0
0,0,0,1.6,0
0,0,0,2,0
0,0,0,2.246,0
0,0,0,4.472,0
0,0,0,4,0
0,0,0,1.55,0
0,0,0,2.225,0
0,0,0,2.238,0
0,0,0,1.535,0
0,0.58,0,2.506,0
1.72,0,0,3.344,0
0.58,0,0,251,0
0,0,0,1.837,0
0,0,0,3.338,0
0,0,0,2.119,0
0,0,0,2.113,0
0,0,0,2,0
0,0,0,1.61,0
0,0,0.129,3.266,0
0,0,0,1.666,0
0,0,0,1.292,0
0,0,0,1,0
0,0,0,1.25,0
0,0,0,3.857,0
0,0,0,2.293,0
0,0,0,1.673,0
0,0,0,1,0
0,0,0,1.785,0
0,0,0,1,0
0,0,0,4.19,0
0,0,0,2.057,0
0,0,0,1.75,0
0,0,0,2.464,0
0,0,0,4.068,0
0,0,0,1.857,0
0,0,0,1.746,0
0,0,0.141,25.812,0
0,0,0,3.382,0
0,0,0,3.28,0
0,0,0,1.263,0
0,0,0.015,1.636,0
0,0,0,2.976,0
0,0,0,3.225,0
0,0,0,03.09,0
0,0,0,1.25,0
0,0,0,4.295,0
0,0,0,2.695,0
0,0,0,3.7,0
0,0,0,1,0
0,0,0,2.1,0
0,0,0,3.6,0
0,0,0,1.333,0
0,0,0,1,0
0,0,0.05,2.725,0
0,0,0,2.61,0
0,0,0,1.181,0
0,0,0,2.151,0
0,0,0.047,8.76,0
0,0,0.141,25.812,0
0,0,0,2.604,0
0,0,0,4.308,0
0,0,0,2,0
0,0,0,1.428,0
0,0,0,2.097,0
0,0,0,4.268,0
0,0,0,1.625,0
0,0,0,1.052,0
0,0,0,2.2,0
0,0,0,2.529,0
0,0,0,2.682,0
0,0,0.055,2.87,0
0,0,0,2.2,0
0,0,0,1.727,0
0,0,0,2.85,0
0,0,0,1.75,0
0,0,0,1.733,0
0,0,0,1.592,0
0.08,0,0.038,1.838,0
0,0,0,2.541,0
0,0,0,1.87,0
0,0,0,1.465,0
0,0,0,1.411,0
0,0,0,1.461,0
0,0,0,2.567,0
0,0,0.075,2.482,0
0,0,0,2.108,0
0,0,0,1,0
0.68,0,0,1.1,0
0,0,0,2.741,0
0,0,0,1.392,0
0,0,0,2.375,0
0,0,0,1.125,0
0,0,0,2.604,0
0,0,0,1.786,0
0,0,0,1.833,0
0,0,0,1.133,0
0,0,0,1.228,0
0,0,0,1.25,0
0,0,0,2.222,0
0,0,0,2.432,0
0,0,0,3.039,0
0,0,0,1.538,0
0,0,0,3.714,0
0,0,0,3.631,0
0,0,0,3.631,0
0,0,0,1.583,0
0,0,0,1,0
0,0,0,2.43,0
0,0,0,1,0
0,0,0,4.333,0
0,0,0,1.066,0
0,0,0,4.858,0
0,0,0.026,3.704,0
0,0.09,0.1,2.188,0
0,0,0.015,2.725,0
0,0,0.163,9.876,0
0,0,0,3.153,0
0,0,0,4.153,0
0,0,0.072,3.242,0
0.99,0,0.076,3.401,0
0,0,0,1.75,0
0,0,0,2.941,0
0,0,0,1.25,0
0,0,0,1.309,0
0.07,0,0.01,1.588,0
0,0,0,3.571,0
0,0,0,3.714,0
0,0,0,1.517,0
0,0,0,2.222,0
0,0,0,2.136,0
0,0,0,2.891,0
0,0,0,3.315,0
0,0,0,1.857,0
0,0,0,04.03,0
0,0,0,3.214,0
0,0,0,1,0
0,0,0,1.607,0
0,0,0,1.545,0
0,0,0,4.413,0